N°,Ubigeo,Empresa Operadora,Region,Provincia,Distrito,Centro Poblado,2G,3G,4G,5G
1,0101010001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS,6.0,18.0,27.0,
2,0101010004,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,EL TAPIAL,,1.0,2.0,
3,0101020001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,2.0,,,
4,0101020002,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,ASUNCION,VISTA HERMOSA,1.0,,,
5,0101030001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS,1.0,,,
6,0101040001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,2.0,2.0,3.0,
7,0101050001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN,2.0,,2.0,
8,0101050011,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PULBILON,1.0,,,
9,0101050045,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHILIQUIN,VISTA HERMOSA,1.0,,,
10,0101060001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,1.0,,,
11,0101060003,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUMBOL,1.0,,,
12,0101060009,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,COCHABAMBA,1.0,,,
13,0101060011,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,VISTA ALEGRE,1.0,,,
14,0101060033,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CANAAN,1.0,,,
15,0101060034,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AÑAZCO PUEBLO,1.0,,,
16,0101070011,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,GRANADA,AIRECAMPO,1.0,,2.0,
17,0101090001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LA JALCA,LA JALCA,1.0,2.0,3.0,
18,0101090062,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LA JALCA,QUILLUNYA,1.0,,,
19,0101100011,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,GUILIPE,1.0,2.0,6.0,
20,0101110001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LEVANTO,LEVANTO,1.0,,,
21,0101110024,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LEVANTO,PAULAPAMPA,,1.0,1.0,
22,0101130003,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,POTMOJA (CUSHPA POTMA),,,3.0,
23,0101140001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOLINOPAMPA,1.0,,1.0,
24,0101140009,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SANTA ROSA,1.0,,2.0,
25,0101140025,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SANTA CRUZ DEL TINGO,1.0,,1.0,
26,0101150002,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,LA MAJADA,1.0,2.0,3.0,
27,0101160001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,OLLEROS,OLLEROS,1.0,,2.0,
28,0101160005,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,OLLEROS,LA REYNA (SAN MIGUEL DE LA REYNA),1.0,,,
29,0101170019,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,QUINJALCA,CASHAC,,1.0,,
30,0101170022,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,QUINJALCA,WISHQUIN,1.0,,,
31,0101190001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MAINO,1.0,,1.0,
32,0101200001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,SOLOCO,SOLOCO,2.0,3.0,4.0,
33,0101200004,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,SOLOCO,CUILLAMAL,1.0,,,
34,0101200005,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,SOLOCO,SUICHE,1.0,,2.0,
35,0101210001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,SONCHE,SAN JUAN DE SONCHE,1.0,,,
36,0101210008,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,SONCHE,PACAY,,1.0,1.0,
37,0101210016,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,SONCHE,NUEVO OLMAL,,1.0,,
38,0102010001,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,BAGUA,BAGUA,3.0,3.0,9.0,
39,0102020001,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,ARAMANGO,ARAMANGO,2.0,,,
40,0102020020,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,ARAMANGO,TUTUMBEROS,2.0,,,
41,0102020033,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,ARAMANGO,EL MUYO (C.P.L.),2.0,,,
42,0102020045,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,ARAMANGO,LA LIBERTAD (C.P.L.),2.0,,,
43,0102020051,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,ARAMANGO,LAS GUAYUSAS,1.0,,1.0,
44,0102020055,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,ARAMANGO,LA PRIMAVERA,2.0,,,
45,0102020075,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,ARAMANGO,EL PORVENIR,2.0,,,
46,0102030001,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,COPALLIN,COPALLIN,1.0,,,
47,0102030008,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,COPALLIN,SANTA CRUZ DE MOROCHAL,2.0,,,
48,0102040001,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,EL PARCO,EL PARCO,1.0,,,
49,0102050001,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,CHIRIACO,2.0,,,
50,0102050008,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,CENTRO WAWIK,2.0,,,
51,0102050014,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,CHIPE,2.0,,,
52,0102050016,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,NUMPATKAIM,2.0,,,
53,0102050024,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,TUPAC AMARU I,2.0,,,
54,0102050025,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,BICHANAK,2.0,,2.0,
55,0102050035,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,WAYAMPIAK (TUYANKUWAS),2.0,,,
56,0102050046,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,IMACITA,2.0,,2.0,
57,0102050053,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,TEMASHNUM,2.0,,,
58,0102050055,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,KUNCHIN,2.0,,,
59,0102050059,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,SAN RAFAEL WINCHU,2.0,,,
60,0102050060,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,MESONES MURO,2.0,,,
61,0102050072,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,NAZARETH,2.0,,,
62,0102050075,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,IMAZA,YUPICUSA,2.0,,,
63,0102060001,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,LA PECA,LA PECA,1.0,2.0,4.0,
64,0102060040,Telefónica del Perú S.A.A.,AMAZONAS,BAGUA,LA PECA,GUAYAQUIL,1.0,1.0,3.0,
65,0103040025,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,COROSHA,GONCHILLO,1.0,2.0,3.0,
66,0103060001,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,FLORIDA,FLORIDA (POMACOCHAS),2.0,3.0,4.0,
67,0103060016,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,FLORIDA,NUEVO GUALULO,1.0,,2.0,
68,0103060022,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,FLORIDA,CARRERA,1.0,2.0,3.0,
69,0103070001,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,JAZAN,PEDRO RUIZ GALLO,1.0,,,
70,0103070016,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,JAZAN,CHOSGON,1.0,1.0,1.0,
71,0103070027,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,JAZAN,SANTA ROSA,,1.0,1.0,
72,0103070038,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,JAZAN,MARAYPATA,1.0,1.0,2.0,
73,0103070054,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,JAZAN,CANCHARHUICO,1.0,1.0,2.0,
74,0103110001,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,VALERA,VALERA (SAN PABLO),1.0,,,
75,0103110010,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,VALERA,LA COCA,1.0,,,
76,0103120001,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,YAMBRASBAMBA,YAMBRASBAMBA,1.0,2.0,3.0,
77,0103120002,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,YAMBRASBAMBA,EL PROGRESO,2.0,,,
78,0103120013,Telefónica del Perú S.A.A.,AMAZONAS,BONGARA,YAMBRASBAMBA,SANTA ROSA,,1.0,1.0,
79,0104010001,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,SANTA MARIA DE NIEVA,1.0,2.0,3.0,
80,0104010048,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,URAKUSA,2.0,,,
81,0104010064,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,TUNDUSA PUERTO (TUNDUSA ANEXO),2.0,,,
82,0104010068,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,TAYUNTSA,2.0,,,
83,0104010075,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,KIGKIS,4.0,,,
84,0104010079,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,PAANTAN,2.0,,,
85,0104010097,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,NUMPATKAIM,2.0,,,
86,0104010109,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,CENTRO IPACUMA,2.0,,,
87,0104010128,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,NIEVA,DEQUENTAI,2.0,,,
88,0104020001,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,EL CENEPA,HUAMPAMI,2.0,,,
89,0104020023,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,EL CENEPA,ANEXO PAGATA,2.0,,,
90,0104020024,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,EL CENEPA,KUSU CHICO,2.0,,,
91,0104020040,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,EL CENEPA,PAMPA ENTSA,2.0,,,
92,0104020053,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,EL CENEPA,SUJIN,2.0,,,
93,0104030001,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,PUERTO GALILEA,1.0,,,
94,0104030010,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,CANDUNGOS,2.0,,,
95,0104030022,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,CHAPIZA,2.0,,,
96,0104030028,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,BOCA CHINGANAZA,1.0,,,
97,0104030032,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,VILLA GONZALO,2.0,,,
98,0104030040,Telefónica del Perú S.A.A.,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,YUTUPIS,1.0,,,
99,0105010001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LAMUD,LAMUD,1.0,1.0,1.0,
100,0105020001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,CAMPORREDONDO,CAMPORREDONDO,1.0,,,
101,0105020010,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,CAMPORREDONDO,GUADALUPE,2.0,,,
102,0105020011,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,CAMPORREDONDO,COCOCHO,1.0,,,
103,0105030001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,COCABAMBA,COCABAMBA,2.0,2.0,,
104,0105030049,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,COCABAMBA,CUCHAPAMPA,1.0,,,
105,0105050001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,CONILA,COHECHAN,1.0,,,
106,0105050003,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,CONILA,MARAIPATA,,1.0,,
107,0105070001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LONGUITA,LONGUITA,1.0,,1.0,
108,0105070008,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LONGUITA,CHOCTAMAL,,1.0,,
109,0105070016,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LONGUITA,MULLACA,,1.0,1.0,
110,0105080001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LONYA CHICO,LONYA CHICO,1.0,,2.0,
111,0105090001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LUYA,LUYA,,,2.0,
112,0105090003,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LUYA,COROBAMBA,1.0,,,
113,0105090007,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LUYA,SHIPATA,1.0,,,
114,0105090008,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LUYA,CHOCTA,1.0,,,
115,0105090010,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LUYA,EL MOLINO,1.0,,,
116,0105100001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LUYA VIEJO,LUYA VIEJO,1.0,,,
117,0105100007,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,LUYA VIEJO,DESMONTE,1.0,,,
118,0105110001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,MARIA,MARIA,1.0,,2.0,
119,0105120001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,OCALLI,OCALLI,1.0,,,
120,0105120005,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,OCALLI,QUISPE,2.0,,,
121,0105120008,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,OCALLI,TACTAMAL,2.0,,,
122,0105120014,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,OCALLI,CELCHO CUZCO,2.0,,,
123,0105130007,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,OCUMAL,LOBSHO,1.0,,,
124,0105130018,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,OCUMAL,YUMBITE,1.0,,2.0,
125,0105130027,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,OCUMAL,SALINGUERRA,1.0,,,
126,0105130034,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,OCUMAL,SAN ANTONIO DE BOLCHAN,1.0,,,
127,0105140028,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,PISUQUIA,SAN MIGUEL DE PORO PORO,1.0,,,
128,0105140046,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,PISUQUIA,EL REJO,,1.0,1.0,
129,0105140062,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,PISUQUIA,TAQUEPIQUE,1.0,,,
130,0105140087,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,PISUQUIA,CHOSPUNTA,,1.0,1.0,
131,0105150002,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,PROVIDENCIA,PLAYA JUMETH,1.0,,,
132,0105150018,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,PROVIDENCIA,PUERTO HUARAPO MAYO,1.0,,,
133,0105170005,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,CHIRIMOYA PAMPA,1.0,1.0,1.0,
134,0105170013,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,SAN CRISTOBAL DEL YESO,,1.0,1.0,
135,0105180001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,SAN JERONIMO,PACLAS,1.0,,,
136,0105200001,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,SANTA CATALINA,SANTA CATALINA,1.0,,,
137,0105200003,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,SANTA CATALINA,INGENIO,2.0,,2.0,
138,0105210012,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,SANTO TOMAS,SAN ANTONIO DE LLACTAPAMPA,,1.0,,
139,0105210014,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,SANTO TOMAS,CONDOLON,,1.0,1.0,
140,0105210022,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,SANTO TOMAS,CUPUY,,1.0,1.0,
141,0105220002,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,TINGO,NUEVO TINGO,1.0,,2.0,
142,0105220014,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,TINGO,CELCAS,,1.0,,
143,0105220026,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,TINGO,BOSOC,,1.0,1.0,
144,0105220027,Telefónica del Perú S.A.A.,AMAZONAS,LUYA,TINGO,QUIUCTA,,1.0,,
145,0106010001,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,MENDOZA,1.0,1.0,2.0,
146,0106020004,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,NARANJO PATA,1.0,,,
147,0106020012,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,TRANCAPATA,1.0,,2.0,
148,0106020016,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,PLACER,1.0,,2.0,
149,0106040001,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,HUAMBO,1.0,,,
150,0106040019,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,NARANJO PATA,2.0,2.0,3.0,
151,0106050001,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,LIMABAMBA,1.0,,,
152,0106050033,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,EL TRIUNFO,1.0,,,
153,0106070003,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,LA CURVA,1.0,1.0,1.0,
154,0106070004,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,CALZADA,,1.0,2.0,
155,0106080001,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,MILPUC,1.0,,,
156,0106080004,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,CHONTA PAMPA,1.0,,,
157,0106090001,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,OMIA,1.0,,,
158,0106090006,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,LAUREL,1.0,,,
159,0106090028,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,SAN JOSE,1.0,,,
160,0106090029,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,EL DORADO,1.0,,,
161,0106090031,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,VISTA HERMOSA,1.0,,,
162,0106090047,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,LA COLPA,1.0,,,
163,0106090054,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,LA COLPA DOS,1.0,,,
164,0106090058,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,GARZAYACU,1.0,,2.0,
165,0106090066,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,LEJIA,3.0,,,
166,0106100001,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,SANTA ROSA DE HUAYABAMBA,1.0,,,
167,0106110001,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,TOTORA,1.0,,,
168,0106120001,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,VISTA ALEGRE,1.0,,,
169,0106120006,Telefónica del Perú S.A.A.,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,NUEVO PROGRESO,1.0,,,
170,0107010001,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,BAGUA GRANDE,4.0,5.0,4.0,
171,0107010012,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,LAS QUINEAS,1.0,,,
172,0107010015,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,GONCHA,1.0,,,
173,0107010049,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,MIRAFLORES,1.0,,,
174,0107010055,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,VISTA HERMOSA,1.0,,,
175,0107010069,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,NUEVA HOLANDA,2.0,,,
176,0107010072,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,PONA ALTA,1.0,,,
177,0107010075,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,PUEBLO LIBRE,1.0,,,
178,0107010082,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,SAN MARTIN DE PORRAS,1.0,,4.0,
179,0107020001,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,CAJARURO,1.0,1.0,2.0,
180,0107020025,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,LA UNION,1.0,,2.0,
181,0107020026,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,ALTO AMAZONAS,1.0,,5.0,
182,0107020057,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,JOSE OLAYA,1.0,,5.0,
183,0107020066,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,SANTA CRUZ DE BUENA VISTA,1.0,,4.0,
184,0107020070,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,NARANJOS ALTOS,1.0,,1.0,
185,0107020078,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,MISQUIYACU ALTO,1.0,1.0,,
186,0107020082,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,EL RON,1.0,,3.0,
187,0107020088,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,MANDINGAS ALTO,1.0,,1.0,
188,0107020099,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,NARANJITOS ALTO,1.0,,1.0,
189,0107020112,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,LOS PATOS,1.0,,,
190,0107020119,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,SAN CRISTOBAL,1.0,,,
191,0107020138,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CAJARURO,LA CRUZ,1.0,2.0,2.0,
192,0107030001,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CUMBA,CUMBA,2.0,,,
193,0107030024,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CUMBA,NUEVA ESPERANZA,2.0,,,
194,0107030037,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CUMBA,TRAPICHILLO,2.0,,,
195,0107030045,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CUMBA,VISTA ALEGRE DE CUMBA,2.0,1.0,1.0,
196,0107030047,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,CUMBA,TAGTAGO,2.0,3.0,1.0,
197,0107040012,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,EL MILAGRO,EL REPOSO,1.0,,2.0,
198,0107040013,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,EL MILAGRO,SIEMPRE VIVA,1.0,,,
199,0107040017,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,EL MILAGRO,JOROBAMBA,1.0,1.0,1.0,
200,0107050003,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,JAMALCA,PUERTO NARANJITOS,1.0,,,
201,0107050013,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,JAMALCA,ASERRADERO,1.0,,,
202,0107050021,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,JAMALCA,PURURCO,1.0,1.0,3.0,
203,0107050045,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,JAMALCA,LA PALMA,1.0,,,
204,0107050051,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,JAMALCA,LAS PIÑAS,1.0,,,
205,0107060001,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,LONYA GRANDE,LONYA GRANDE,1.0,1.0,2.0,
206,0107060019,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,LONYA GRANDE,ROBLE PAMPA,1.0,,,
207,0107060055,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,LONYA GRANDE,YUNGASUYO,1.0,,2.0,
208,0107060081,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,LONYA GRANDE,LAJAS,2.0,,,
209,0107070001,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,YAMON,YAMON,2.0,1.0,,
210,0107070018,Telefónica del Perú S.A.A.,AMAZONAS,UTCUBAMBA,YAMON,EL PALTO,2.0,,,
